product_id,product_name_raw,product_color,product_size,brand,unit_price_text,unit_price,unit_cost,stock_qty,is_active
CLT0001,T-Shirt , Black , S,Nile Fashion,EGP 90,90,40,449,1
CLT0002,T-Shirt , Black , M,Nile Fashion,EGP 90,90,40,94,1
CLT0003,T-Shirt , Black , L,Nile Fashion,EGP 90,90,40,444,1
CLT0004,T-Shirt , Black , XL,Nile Fashion,EGP 90,90,40,408,1
CLT0005,T-Shirt , White , S,Nile Fashion,EGP 90,90,40,22,1
CLT0006,T-Shirt , White , M,Nile Fashion,EGP 80,80,40,130,1
CLT0007,T-Shirt , White , L,Nile Fashion,EGP 90,90,40,392,1
CLT0008,T-Shirt , White , XL,Nile Fashion,EGP 90,90,40,417,1
CLT0009,T-Shirt , Navy , S,Nile Fashion,EGP 90,90,40,44,1
CLT0010,T-Shirt , Navy , M,Nile Fashion,EGP 90,90,40,338,1
CLT0011,T-Shirt , Navy , L,Nile Fashion,EGP 80,80,40,483,1
CLT0012,T-Shirt , Navy , XL,Nile Fashion,EGP 90,90,40,343,1
CLT0013,T-Shirt , Grey , S,Nile Fashion,EGP 90,90,40,93,1
CLT0014,T-Shirt , Grey , M,Nile Fashion,EGP 80,80,40,200,1
CLT0015,T-Shirt , Grey , L,Nile Fashion,EGP 90,90,40,360,1
CLT0016,T-Shirt , Grey , XL,Nile Fashion,EGP 90,90,40,204,1
CLT0017,Polo Shirt , Black , S,Sphinx Collection,EGP 150,150,70,422,0
CLT0018,Polo Shirt , Black , M,Sphinx Collection,EGP 150,150,70,219,1
CLT0019,Polo Shirt , Black , L,Sphinx Collection,EGP 140,140,70,218,0
CLT0020,Polo Shirt , Black , XL,Sphinx Collection,EGP 140,140,70,28,1
CLT0021,Polo Shirt , White , S,Sphinx Collection,EGP 140,140,70,143,1
CLT0022,Polo Shirt , White , M,Sphinx Collection,EGP 150,150,70,415,1
CLT0023,Polo Shirt , White , L,Sphinx Collection,EGP 150,150,70,88,1
CLT0024,Polo Shirt , White , XL,Sphinx Collection,EGP 150,150,70,436,1
CLT0025,Polo Shirt , Navy , S,Sphinx Collection,EGP 160,160,70,370,1
CLT0026,Polo Shirt , Navy , M,Sphinx Collection,EGP 150,150,70,343,1
CLT0027,Polo Shirt , Navy , L,Sphinx Collection,EGP 140,140,70,386,1
CLT0028,Polo Shirt , Navy , XL,Sphinx Collection,EGP 150,150,70,170,1
CLT0029,Polo Shirt , Green , S,Sphinx Collection,EGP 160,160,70,473,1
CLT0030,Polo Shirt , Green , M,Sphinx Collection,EGP 160,160,70,283,1
CLT0031,Polo Shirt , Green , L,Sphinx Collection,EGP 160,160,70,262,1
CLT0032,Polo Shirt , Green , XL,Sphinx Collection,EGP 150,150,70,117,1
CLT0033,Formal Shirt , White , S,Lotus Classic,EGP 230,230,110,189,1
CLT0034,Formal Shirt , White , M,Lotus Classic,EGP 230,230,110,243,1
CLT0035,Formal Shirt , White , L,Lotus Classic,EGP 230,230,110,478,0
CLT0036,Formal Shirt , White , XL,Lotus Classic,EGP 220,220,100,115,1
CLT0037,Formal Shirt , Blue , S,Lotus Classic,EGP 220,220,100,493,1
CLT0038,Formal Shirt , Blue , M,Lotus Classic,EGP 210,210,100,62,1
CLT0039,Formal Shirt , Blue , L,Lotus Classic,EGP 210,210,100,328,0
CLT0040,Formal Shirt , Blue , XL,Lotus Classic,EGP 210,210,100,170,1
CLT0041,Formal Shirt , Grey , S,Lotus Classic,EGP 210,210,100,358,1
CLT0042,Formal Shirt , Grey , M,Lotus Classic,EGP 220,220,100,387,1
CLT0043,Formal Shirt , Grey , L,Lotus Classic,EGP 230,230,110,199,1
CLT0044,Formal Shirt , Grey , XL,Lotus Classic,EGP 230,230,110,486,1
CLT0045,Formal Shirt , Beige , S,Lotus Classic,EGP 240,240,110,160,1
CLT0046,Formal Shirt , Beige , M,Lotus Classic,EGP 230,230,110,49,1
CLT0047,Formal Shirt , Beige , L,Lotus Classic,EGP 220,220,110,206,1
CLT0048,Formal Shirt , Beige , XL,Lotus Classic,EGP 230,230,110,101,0
CLT0049,Casual Shirt , Blue , S,Cairo Style,EGP 180,180,80,367,1
CLT0050,Casual Shirt , Blue , M,Cairo Style,EGP 160,160,70,54,1
CLT0051,Casual Shirt , Blue , L,Cairo Style,EGP 170,170,80,205,1
CLT0052,Casual Shirt , Blue , XL,Cairo Style,EGP 170,170,80,329,1
CLT0053,Casual Shirt , Green , S,Cairo Style,EGP 170,170,80,209,1
CLT0054,Casual Shirt , Green , M,Cairo Style,EGP 180,180,80,313,1
CLT0055,Casual Shirt , Green , L,Cairo Style,EGP 170,170,80,180,1
CLT0056,Casual Shirt , Green , XL,Cairo Style,EGP 160,160,80,78,1
CLT0057,Casual Shirt , Beige , S,Cairo Style,EGP 160,160,80,285,1
CLT0058,Casual Shirt , Beige , M,Cairo Style,EGP 170,170,80,154,1
CLT0059,Casual Shirt , Beige , L,Cairo Style,EGP 170,170,80,129,0
CLT0060,Casual Shirt , Beige , XL,Cairo Style,EGP 160,160,80,489,0
CLT0061,Casual Shirt , Brown , S,Cairo Style,EGP 160,160,80,89,1
CLT0062,Casual Shirt , Brown , M,Cairo Style,EGP 170,170,80,480,1
CLT0063,Casual Shirt , Brown , L,Cairo Style,EGP 180,180,90,434,1
CLT0064,Casual Shirt , Brown , XL,Cairo Style,EGP 180,180,80,183,1
CLT0065,Jeans , Black ,28,Lotus Classic,EGP 300,300,150,168,1
CLT0066,Jeans , Black ,30,Lotus Classic,EGP 310,310,150,384,1
CLT0067,Jeans , Black ,32,Lotus Classic,EGP 310,310,150,109,1
CLT0068,Jeans , Black ,34,Lotus Classic,EGP 300,300,150,82,0
CLT0069,Jeans , Navy ,28,Lotus Classic,EGP 310,310,150,141,1
CLT0070,Jeans , Navy ,30,Lotus Classic,EGP 280,280,140,303,1
CLT0071,Jeans , Navy ,32,Lotus Classic,EGP 300,300,140,302,1
CLT0072,Jeans , Navy ,34,Lotus Classic,EGP 320,320,150,53,1
CLT0073,Jeans , Blue ,28,Lotus Classic,EGP 320,320,160,388,1
CLT0074,Jeans , Blue ,30,Lotus Classic,EGP 300,300,140,229,1
CLT0075,Jeans , Blue ,32,Lotus Classic,EGP 280,280,140,182,1
CLT0076,Jeans , Blue ,34,Lotus Classic,EGP 300,300,140,368,1
CLT0077,Jeans , Grey ,28,Lotus Classic,EGP 280,280,140,444,1
CLT0078,Jeans , Grey ,30,Lotus Classic,EGP 300,300,150,113,1
CLT0079,Jeans , Grey ,32,Lotus Classic,EGP 280,280,140,277,1
CLT0080,Jeans , Grey ,34,Lotus Classic,EGP 280,280,140,83,1
CLT0081,Chinos , Beige ,28,Nile Fashion,EGP 270,270,130,185,0
CLT0082,Chinos , Beige ,30,Nile Fashion,EGP 270,270,130,285,1
CLT0083,Chinos , Beige ,32,Nile Fashion,EGP 290,290,140,148,1
CLT0084,Chinos , Beige ,34,Nile Fashion,EGP 300,300,140,160,1
CLT0085,Chinos , Khaki ,28,Nile Fashion,EGP 270,270,130,293,1
CLT0086,Chinos , Khaki ,30,Nile Fashion,EGP 280,280,140,323,0
CLT0087,Chinos , Khaki ,32,Nile Fashion,EGP 270,270,130,357,1
CLT0088,Chinos , Khaki ,34,Nile Fashion,EGP 290,290,140,192,1
CLT0089,Chinos , Navy ,28,Nile Fashion,EGP 280,280,140,442,1
CLT0090,Chinos , Navy ,30,Nile Fashion,EGP 260,260,130,348,1
CLT0091,Chinos , Navy ,32,Nile Fashion,EGP 270,270,130,127,1
CLT0092,Chinos , Navy ,34,Nile Fashion,EGP 280,280,130,347,1
CLT0093,Chinos , Grey ,28,Nile Fashion,EGP 290,290,140,299,1
CLT0094,Chinos , Grey ,30,Nile Fashion,EGP 300,300,140,267,1
CLT0095,Chinos , Grey ,32,Nile Fashion,EGP 290,290,140,227,1
CLT0096,Chinos , Grey ,34,Nile Fashion,EGP 260,260,130,50,1
CLT0097,Shorts , Black ,28,Delta Wear,EGP 150,150,70,124,1
CLT0098,Shorts , Black ,30,Delta Wear,EGP 140,140,70,461,1
CLT0099,Shorts , Black ,32,Delta Wear,EGP 150,150,70,460,1
CLT0100,Shorts , Black ,34,Delta Wear,EGP 150,150,70,409,1
CLT0101,Shorts , Navy ,28,Delta Wear,EGP 150,150,70,183,1
CLT0102,Shorts , Navy ,30,Delta Wear,EGP 140,140,70,250,1
CLT0103,Shorts , Navy ,32,Delta Wear,EGP 140,140,70,168,0
CLT0104,Shorts , Navy ,34,Delta Wear,EGP 160,160,70,234,1
CLT0105,Shorts , Grey ,28,Delta Wear,EGP 160,160,70,101,1
CLT0106,Shorts , Grey ,30,Delta Wear,EGP 160,160,70,389,1
CLT0107,Shorts , Grey ,32,Delta Wear,EGP 150,150,70,275,0
CLT0108,Shorts , Grey ,34,Delta Wear,EGP 150,150,70,470,1
CLT0109,Shorts , Khaki ,28,Delta Wear,EGP 140,140,70,221,1
CLT0110,Shorts , Khaki ,30,Delta Wear,EGP 160,160,70,130,1
CLT0111,Shorts , Khaki ,32,Delta Wear,EGP 140,140,70,164,1
CLT0112,Shorts , Khaki ,34,Delta Wear,EGP 160,160,70,354,1
CLT0113,Sweatpants , Black ,28,Nile Fashion,EGP 200,200,100,453,1
CLT0114,Sweatpants , Black ,30,Nile Fashion,EGP 190,190,90,155,1
CLT0115,Sweatpants , Black ,32,Nile Fashion,EGP 210,210,100,207,1
CLT0116,Sweatpants , Black ,34,Nile Fashion,EGP 190,190,90,307,1
CLT0117,Sweatpants , Grey ,28,Nile Fashion,EGP 200,200,100,57,1
CLT0118,Sweatpants , Grey ,30,Nile Fashion,EGP 200,200,90,301,1
CLT0119,Sweatpants , Grey ,32,Nile Fashion,EGP 210,210,100,368,1
CLT0120,Sweatpants , Grey ,34,Nile Fashion,EGP 190,190,90,69,1
CLT0121,Sweatpants , Navy ,28,Nile Fashion,EGP 210,210,100,193,1
CLT0122,Sweatpants , Navy ,30,Nile Fashion,EGP 200,200,90,93,1
CLT0123,Sweatpants , Navy ,32,Nile Fashion,EGP 200,200,100,276,1
CLT0124,Sweatpants , Navy ,34,Nile Fashion,EGP 190,190,90,385,1
CLT0125,Hoodie , Black , S,Delta Wear,EGP 350,350,170,96,1
CLT0126,Hoodie , Black , M,Delta Wear,EGP 350,350,170,187,0
CLT0127,Hoodie , Black , L,Delta Wear,EGP 340,340,170,221,0
CLT0128,Hoodie , Black , XL,Delta Wear,EGP 360,360,180,173,1
CLT0129,Hoodie , Grey , S,Delta Wear,EGP 350,350,170,280,1
CLT0130,Hoodie , Grey , M,Delta Wear,EGP 360,360,170,173,1
CLT0131,Hoodie , Grey , L,Delta Wear,EGP 330,330,160,189,1
CLT0132,Hoodie , Grey , XL,Delta Wear,EGP 370,370,180,318,1
CLT0133,Hoodie , Navy , S,Delta Wear,EGP 370,370,180,466,1
CLT0134,Hoodie , Navy , M,Delta Wear,EGP 330,330,160,262,1
CLT0135,Hoodie , Navy , L,Delta Wear,EGP 360,360,170,417,1
CLT0136,Hoodie , Navy , XL,Delta Wear,EGP 340,340,160,46,1
CLT0137,Hoodie , Red , S,Delta Wear,EGP 330,330,160,342,1
CLT0138,Hoodie , Red , M,Delta Wear,EGP 360,360,180,214,1
CLT0139,Hoodie , Red , L,Delta Wear,EGP 360,360,170,36,1
CLT0140,Hoodie , Red , XL,Delta Wear,EGP 360,360,170,117,1
CLT0141,Jacket , Black , S,Nile Fashion,EGP 490,490,240,231,1
CLT0142,Jacket , Black , M,Nile Fashion,EGP 490,490,240,416,1
CLT0143,Jacket , Black , L,Nile Fashion,EGP 500,500,240,454,1
CLT0144,Jacket , Black , XL,Nile Fashion,EGP 470,470,230,90,1
CLT0145,Jacket , Brown , S,Nile Fashion,EGP 500,500,250,359,1
CLT0146,Jacket , Brown , M,Nile Fashion,EGP 490,490,240,108,1
CLT0147,Jacket , Brown , L,Nile Fashion,EGP 500,500,250,299,1
CLT0148,Jacket , Brown , XL,Nile Fashion,EGP 520,520,250,389,1
CLT0149,Jacket , Navy , S,Nile Fashion,EGP 520,520,260,155,1
CLT0150,Jacket , Navy , M,Nile Fashion,EGP 480,480,230,146,1
CLT0151,Jacket , Navy , L,Nile Fashion,EGP 480,480,240,172,1
CLT0152,Jacket , Navy , XL,Nile Fashion,EGP 510,510,250,373,1
CLT0153,Winter Coat , Black , S,Nile Fashion,EGP 800,800,390,306,0
CLT0154,Winter Coat , Black , M,Nile Fashion,EGP 830,830,410,160,1
CLT0155,Winter Coat , Black , L,Nile Fashion,EGP 810,810,400,298,1
CLT0156,Winter Coat , Black , XL,Nile Fashion,EGP 850,850,420,439,1
CLT0157,Winter Coat , Grey , S,Nile Fashion,EGP 830,830,410,94,1
CLT0158,Winter Coat , Grey , M,Nile Fashion,EGP 780,780,380,385,1
CLT0159,Winter Coat , Grey , L,Nile Fashion,EGP 850,850,420,355,1
CLT0160,Winter Coat , Grey , XL,Nile Fashion,EGP 800,800,390,123,1
CLT0161,Winter Coat , Brown , S,Nile Fashion,EGP 770,770,380,307,1
CLT0162,Winter Coat , Brown , M,Nile Fashion,EGP 760,760,370,335,1
CLT0163,Winter Coat , Brown , L,Nile Fashion,EGP 770,770,380,45,1
CLT0164,Winter Coat , Brown , XL,Nile Fashion,EGP 800,800,400,346,1
CLT0165,Windbreaker , Blue , S,Lotus Classic,EGP 440,440,220,387,1
CLT0166,Windbreaker , Blue , M,Lotus Classic,EGP 460,460,230,90,1
CLT0167,Windbreaker , Blue , L,Lotus Classic,EGP 450,450,220,495,1
CLT0168,Windbreaker , Blue , XL,Lotus Classic,EGP 460,460,220,470,1
CLT0169,Windbreaker , Black , S,Lotus Classic,EGP 450,450,220,122,1
CLT0170,Windbreaker , Black , M,Lotus Classic,EGP 440,440,210,166,1
CLT0171,Windbreaker , Black , L,Lotus Classic,EGP 470,470,230,65,1
CLT0172,Windbreaker , Black , XL,Lotus Classic,EGP 430,430,210,398,1
CLT0173,Windbreaker , Red , S,Lotus Classic,EGP 480,480,230,487,1
CLT0174,Windbreaker , Red , M,Lotus Classic,EGP 440,440,220,448,1
CLT0175,Windbreaker , Red , L,Lotus Classic,EGP 480,480,230,448,1
CLT0176,Windbreaker , Red , XL,Lotus Classic,EGP 450,450,220,499,1
CLT0177,Sneakers , White ,38,Nile Fashion,EGP 630,630,310,24,1
CLT0178,Sneakers , White ,39,Nile Fashion,EGP 610,610,300,495,0
CLT0179,Sneakers , White ,40,Nile Fashion,EGP 580,580,290,348,1
CLT0180,Sneakers , White ,41,Nile Fashion,EGP 600,600,290,500,1
CLT0181,Sneakers , Black ,38,Nile Fashion,EGP 600,600,300,159,1
CLT0182,Sneakers , Black ,39,Nile Fashion,EGP 570,570,280,103,1
CLT0183,Sneakers , Black ,40,Nile Fashion,EGP 610,610,300,387,1
CLT0184,Sneakers , Black ,41,Nile Fashion,EGP 620,620,300,424,1
CLT0185,Sneakers , Grey ,38,Nile Fashion,EGP 610,610,300,118,1
CLT0186,Sneakers , Grey ,39,Nile Fashion,EGP 630,630,310,479,1
CLT0187,Sneakers , Grey ,40,Nile Fashion,EGP 590,590,290,187,1
CLT0188,Sneakers , Grey ,41,Nile Fashion,EGP 610,610,300,114,0
CLT0189,Formal Shoes , Black ,38,Delta Wear,EGP 680,680,340,147,1
CLT0190,Formal Shoes , Black ,39,Delta Wear,EGP 690,690,340,248,1
CLT0191,Formal Shoes , Black ,40,Delta Wear,EGP 740,740,370,174,1
CLT0192,Formal Shoes , Black ,41,Delta Wear,EGP 710,710,350,153,1
CLT0193,Formal Shoes , Brown ,38,Delta Wear,EGP 720,720,350,51,1
CLT0194,Formal Shoes , Brown ,39,Delta Wear,EGP 700,700,340,101,1
CLT0195,Formal Shoes , Brown ,40,Delta Wear,EGP 700,700,350,478,1
CLT0196,Formal Shoes , Brown ,41,Delta Wear,EGP 730,730,360,373,1
CLT0197,Sandals , Black ,38,Nile Fashion,EGP 240,240,120,133,1
CLT0198,Sandals , Black ,39,Nile Fashion,EGP 240,240,110,98,1
CLT0199,Sandals , Black ,40,Nile Fashion,EGP 270,270,130,211,1
CLT0200,Sandals , Black ,41,Nile Fashion,EGP 250,250,120,261,1
CLT0201,Sandals , Brown ,38,Nile Fashion,EGP 260,260,130,442,1
CLT0202,Sandals , Brown ,39,Nile Fashion,EGP 240,240,120,406,1
CLT0203,Sandals , Brown ,40,Nile Fashion,EGP 260,260,120,289,1
CLT0204,Sandals , Brown ,41,Nile Fashion,EGP 260,260,120,59,1
CLT0205,Sandals , Beige ,38,Nile Fashion,EGP 240,240,110,444,1
CLT0206,Sandals , Beige ,39,Nile Fashion,EGP 250,250,120,313,1
CLT0207,Sandals , Beige ,40,Nile Fashion,EGP 240,240,110,457,1
CLT0208,Sandals , Beige ,41,Nile Fashion,EGP 240,240,110,125,1
CLT0209,Sports Shoes , Black ,38,Delta Wear,EGP 520,520,250,281,1
CLT0210,Sports Shoes , Black ,39,Delta Wear,EGP 510,510,250,87,1
CLT0211,Sports Shoes , Black ,40,Delta Wear,EGP 550,550,270,49,1
CLT0212,Sports Shoes , Black ,41,Delta Wear,EGP 560,560,280,177,1
CLT0213,Sports Shoes , White ,38,Delta Wear,EGP 540,540,270,438,1
CLT0214,Sports Shoes , White ,39,Delta Wear,EGP 530,530,260,57,1
CLT0215,Sports Shoes , White ,40,Delta Wear,EGP 540,540,260,52,1
CLT0216,Sports Shoes , White ,41,Delta Wear,EGP 520,520,250,477,1
CLT0217,Sports Shoes , Blue ,38,Delta Wear,EGP 580,580,290,36,1
CLT0218,Sports Shoes , Blue ,39,Delta Wear,EGP 520,520,260,89,1
CLT0219,Sports Shoes , Blue ,40,Delta Wear,EGP 590,590,290,350,0
CLT0220,Sports Shoes , Blue ,41,Delta Wear,EGP 540,540,270,476,1
CLT0221,Cap , Black , One Size,Delta Wear,EGP 100,100,40,369,0
CLT0222,Cap , Navy , One Size,Delta Wear,EGP 100,100,50,88,1
CLT0223,Cap , White , One Size,Delta Wear,EGP 100,100,40,111,0
CLT0224,Cap , Red , One Size,Delta Wear,EGP 100,100,40,85,1
CLT0225,Belt , Black , One Size,Cairo Style,EGP 160,160,70,407,1
CLT0226,Belt , Brown , One Size,Cairo Style,EGP 140,140,70,364,1
CLT0227,Sunglasses , Black , One Size,Delta Wear,EGP 300,300,150,441,1
CLT0228,Sunglasses , Brown , One Size,Delta Wear,EGP 300,300,140,99,1
CLT0229,Dress , Black , XS,Lotus Classic,EGP 330,330,160,358,1
CLT0230,Dress , Black , S,Lotus Classic,EGP 360,360,180,472,1
CLT0231,Dress , Black , M,Lotus Classic,EGP 340,340,160,54,1
CLT0232,Dress , Black , L,Lotus Classic,EGP 330,330,160,326,1
CLT0233,Dress , Red , XS,Lotus Classic,EGP 370,370,180,145,1
CLT0234,Dress , Red , S,Lotus Classic,EGP 340,340,170,139,1
CLT0235,Dress , Red , M,Lotus Classic,EGP 360,360,180,417,1
CLT0236,Dress , Red , L,Lotus Classic,EGP 350,350,170,168,1
CLT0237,Dress , Blue , XS,Lotus Classic,EGP 370,370,180,314,1
CLT0238,Dress , Blue , S,Lotus Classic,EGP 350,350,170,364,1
CLT0239,Dress , Blue , M,Lotus Classic,EGP 340,340,160,468,1
CLT0240,Dress , Blue , L,Lotus Classic,EGP 360,360,170,133,1
CLT0241,Dress , White , XS,Lotus Classic,EGP 340,340,160,305,0
CLT0242,Dress , White , S,Lotus Classic,EGP 370,370,180,486,1
CLT0243,Dress , White , M,Lotus Classic,EGP 360,360,170,304,1
CLT0244,Dress , White , L,Lotus Classic,EGP 370,370,180,349,1
CLT0245,Blouse , White , XS,Sphinx Collection,EGP 190,190,90,233,1
CLT0246,Blouse , White , S,Sphinx Collection,EGP 190,190,90,114,1
CLT0247,Blouse , White , M,Sphinx Collection,EGP 200,200,90,454,1
CLT0248,Blouse , White , L,Sphinx Collection,EGP 210,210,100,93,1
CLT0249,Blouse , Blue , XS,Sphinx Collection,EGP 210,210,100,307,1
CLT0250,Blouse , Blue , S,Sphinx Collection,EGP 200,200,90,291,1
CLT0251,Blouse , Blue , M,Sphinx Collection,EGP 190,190,90,124,1
CLT0252,Blouse , Blue , L,Sphinx Collection,EGP 190,190,90,250,1
CLT0253,Blouse , Beige , XS,Sphinx Collection,EGP 190,190,90,390,1
CLT0254,Blouse , Beige , S,Sphinx Collection,EGP 190,190,90,213,1
CLT0255,Blouse , Beige , M,Sphinx Collection,EGP 200,200,100,467,1
CLT0256,Blouse , Beige , L,Sphinx Collection,EGP 210,210,100,320,1
CLT0257,Skirt , Black , XS,Sphinx Collection,EGP 240,240,120,126,1
CLT0258,Skirt , Black , S,Sphinx Collection,EGP 240,240,120,485,1
CLT0259,Skirt , Black , M,Sphinx Collection,EGP 260,260,130,399,1
CLT0260,Skirt , Black , L,Sphinx Collection,EGP 270,270,130,265,1
CLT0261,Skirt , Beige , XS,Sphinx Collection,EGP 260,260,120,380,1
CLT0262,Skirt , Beige , S,Sphinx Collection,EGP 260,260,130,302,1
CLT0263,Skirt , Beige , M,Sphinx Collection,EGP 240,240,120,258,1
CLT0264,Skirt , Beige , L,Sphinx Collection,EGP 240,240,120,153,1
CLT0265,Skirt , Blue , XS,Sphinx Collection,EGP 260,260,130,258,1
CLT0266,Skirt , Blue , S,Sphinx Collection,EGP 270,270,130,260,1
CLT0267,Skirt , Blue , M,Sphinx Collection,EGP 240,240,120,124,1
CLT0268,Skirt , Blue , L,Sphinx Collection,EGP 250,250,120,308,1
CLT0269,Leggings , Black , XS,Cairo Style,EGP 140,140,70,303,0
CLT0270,Leggings , Black , S,Cairo Style,EGP 150,150,70,233,1
CLT0271,Leggings , Black , M,Cairo Style,EGP 140,140,70,137,1
CLT0272,Leggings , Black , L,Cairo Style,EGP 160,160,70,275,1
CLT0273,Leggings , Grey , XS,Cairo Style,EGP 160,160,70,192,1
CLT0274,Leggings , Grey , S,Cairo Style,EGP 160,160,70,390,1
CLT0275,Leggings , Grey , M,Cairo Style,EGP 150,150,70,106,1
CLT0276,Leggings , Grey , L,Cairo Style,EGP 150,150,70,91,1
CLT0277,Leggings , Navy , XS,Cairo Style,EGP 150,150,70,489,1
CLT0278,Leggings , Navy , S,Cairo Style,EGP 160,160,70,50,1
CLT0279,Leggings , Navy , M,Cairo Style,EGP 160,160,70,58,0
CLT0280,Leggings , Navy , L,Cairo Style,EGP 150,150,70,411,1
CLT0281,Abaya , Black , XS,Cairo Style,EGP 470,470,230,138,1
CLT0282,Abaya , Black , S,Cairo Style,EGP 430,430,210,131,1
CLT0283,Abaya , Black , M,Cairo Style,EGP 440,440,220,336,1
CLT0284,Abaya , Black , L,Cairo Style,EGP 480,480,230,487,1
CLT0285,Abaya , Navy , XS,Cairo Style,EGP 450,450,220,23,1
CLT0286,Abaya , Navy , S,Cairo Style,EGP 440,440,220,28,1
CLT0287,Abaya , Navy , M,Cairo Style,EGP 430,430,210,166,1
CLT0288,Abaya , Navy , L,Cairo Style,EGP 470,470,230,365,1
CLT0289,Abaya , Grey , XS,Cairo Style,EGP 480,480,230,111,1
CLT0290,Abaya , Grey , S,Cairo Style,EGP 420,420,210,96,1
CLT0291,Abaya , Grey , M,Cairo Style,EGP 460,460,220,149,1
CLT0292,Abaya , Grey , L,Cairo Style,EGP 430,430,210,223,1
CLT0293,Hijab Set , Black , XS,Delta Wear,EGP 130,130,60,144,0
CLT0294,Hijab Set , Black , S,Delta Wear,EGP 120,120,60,370,1
CLT0295,Hijab Set , Black , M,Delta Wear,EGP 120,120,60,459,1
CLT0296,Hijab Set , Black , L,Delta Wear,EGP 120,120,60,227,1
CLT0297,Hijab Set , White , XS,Delta Wear,EGP 130,130,60,48,1
CLT0298,Hijab Set , White , S,Delta Wear,EGP 130,130,60,62,1
CLT0299,Hijab Set , White , M,Delta Wear,EGP 130,130,60,421,1
