order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0003830,01/01/2022,20220101,CUS01700,4,EMP0089,Debit Card,Completed,840,460
ORD0001773,01/01/2022,20220101,CUS01029,2,EMP0047,Debit Card,Completed,1332,740
ORD0011987,01/01/2022,20220101,CUS02153,11,EMP0173,Debit Card,Completed,520,260
ORD0009735,01/01/2022,20220101,CUS00424,2,EMP0043,Cash,Completed,344,210
ORD0007544,01/01/2022,20220101,CUS01849,10,EMP0160,Vodafone Cash,Completed,1408,740
ORD0003270,01/01/2022,20220101,CUS02303,7,EMP0128,Fawry,Completed,324,170
ORD0010894,01/01/2022,20220101,CUS01418,14,EMP0197,Vodafone Cash,Completed,828.5,420
ORD0003885,01/01/2022,20220101,CUS01590,14,EMP0194,InstaPay,Returned,2101.5,1080
ORD0009843,01/01/2022,20220101,CUS01268,4,EMP0082,  Fawry  ,Completed,1514,740
ORD0001947,01/01/2022,20220101,CUS02308,6,EMP0115,InstaPay,Completed,12945.5,12110
ORD0007370,01/01/2022,20220101,CUS01745,6,EMP0116,  Debit Card  ,Completed,1112.5,610
ORD0005761,02/01/2022,20220102,CUS02600,1,EMP0017,Debit Card,Completed,459,260
ORD0003284,02/01/2022,20220102,CUS02060,9,EMP0148,  Credit Card  ,Completed,108,60
ORD0009709,02/01/2022,20220102,CUS00704,4,EMP0083,Vodafone Cash,Completed,980,570
ORD0010942,02/01/2022,20220102,CUS00611,3,EMP0055,Debit Card,Completed,150,70
ORD0003412,02/01/2022,20220102,CUS00162,3,EMP0063,Vodafone Cash,Completed,1187.5,630
ORD0004900,02/01/2022,20220102,CUS02322,12,EMP0179,  Debit Card  ,Completed,1046,530
ORD0004801,02/01/2022,20220102,CUS00312,1,EMP0006,  Debit Card  ,Completed,1008,550
ORD0004599,02/01/2022,20220102,CUS01963,15,EMP0208,  InstaPay  ,Completed,1720,820
ORD0009755,02/01/2022,20220102,CUS00200,7,,Credit Card,Completed,960.5,560
ORD0002349,02/01/2022,20220102,CUS01585,4,EMP0091,  Fawry  ,Completed,1653,820
ORD0005584,02/01/2022,20220102,CUS02863,2,EMP0040,Cash,Completed,1620,870
