order_id,order_date,date_id,customer_id,store_id,employee_id,payment_method,order_status,total_revenue,total_cost
ORD0002861,01/01/2024,20240101,CUS00888,4,EMP0079,Credit Card,Returned,5302,4310
ORD0006046,01/01/2024,20240101,CUS02416,1,EMP0009,InstaPay,Completed,740,360
ORD0002658,01/01/2024,20240101,CUS02527,12,EMP0175,Cash,Completed,1771,880
ORD0008080,01/01/2024,20240101,CUS00340,11,EMP0171,Cash,Completed,3485,2010
ORD0009278,01/01/2024,20240101,CUS00906,6,EMP0116,Debit Card,Completed,233,120
ORD0002226,01/01/2024,20240101,CUS00413,1,EMP0003,InstaPay,Completed,700,420
ORD0004221,01/01/2024,20240101,CUS01601,14,EMP0200,  Fawry  ,Completed,1401,740
ORD0010575,01/01/2024,20240101,CUS01815,5,EMP0112,InstaPay,Completed,81,40
ORD0007342,01/01/2024,20240101,CUS00211,6,EMP0116,InstaPay,Completed,6100,4900
ORD0005282,01/01/2024,20240101,CUS02410,15,EMP0215,Debit Card,Completed,1600,820
ORD0010236,01/01/2024,20240101,CUS02662,14,EMP0195,Vodafone Cash,Completed,270,120
ORD0006390,01/01/2024,20240101,CUS02651,5,EMP0108,Debit Card,Returned,980,530
ORD0002709,01/01/2024,20240101,CUS00542,7,EMP0136,InstaPay,Completed,38857,32220
ORD0000761,02/01/2024,20240102,CUS01226,1,EMP0006,Cash,Completed,1550.5,790
ORD0003933,02/01/2024,20240102,CUS01202,4,EMP0093,Cash,Completed,153,90
ORD0009895,02/01/2024,20240102,CUS01703,3,EMP0067,Debit Card,Returned,270,150
ORD0009548,02/01/2024,20240102,CUS00750,8,EMP0143,  Vodafone Cash  ,Completed,4712,2450
ORD0000288,02/01/2024,20240102,CUS00456,11,EMP0173,  Credit Card  ,Completed,90,40
ORD0005340,02/01/2024,20240102,CUS02563,10,EMP0152,Fawry,Completed,190,90
ORD0004108,02/01/2024,20240102,CUS02130,2,EMP0030,Vodafone Cash,Completed,629,360
ORD0009313,02/01/2024,20240102,CUS02353,3,EMP0070,Credit Card,Completed,2322,1340
ORD0001844,02/01/2024,20240102,CUS02609,1,EMP0012,  Cash  ,Completed,749,350
ORD0010525,02/01/2024,20240102,CUS01199,6,EMP0117,InstaPay,Completed,476,280
ORD0004372,02/01/2024,20240102,CUS00626,7,EMP0134,  InstaPay  ,Completed,20824,16420
ORD0006276,02/01/2024,20240102,CUS00282,3,EMP0059,  Credit Card  ,Completed,1000,500
ORD0010740,02/01/2024,20240102,CUS00709,12,,Debit Card,Completed,320,140
ORD0005052,02/01/2024,20240102,CUS00386,2,EMP0039,Debit Card,Completed,1863,1020
ORD0000328,03/01/2024,20240103,CUS01904,5,EMP0112,Vodafone Cash,Completed,2220,1100
ORD0009612,03/01/2024,20240103,CUS01961,1,EMP0014,Credit Card,Completed,616,320
ORD0000617,03/01/2024,20240103,CUS02928,6,EMP0115,InstaPay,Completed,1159,600
ORD0000059,03/01/2024,20240103,CUS02318,1,EMP0022,Vodafone Cash,Completed,411,210
ORD0006297,03/01/2024,20240103,CUS02038,12,EMP0184,Cash,Completed,1923,1030
ORD0003648,03/01/2024,20240103,CUS00941,13,EMP0187,Debit Card,Completed,630,310
ORD0004612,03/01/2024,20240103,CUS00678,2,EMP0029,Vodafone Cash,Completed,472,290
ORD0003961,03/01/2024,20240103,CUS00735,5,EMP0108,Debit Card,Completed,3094,1510
ORD0005003,03/01/2024,20240103,CUS02920,1,EMP0004,Debit Card,Returned,513,260
ORD0006981,03/01/2024,20240103,CUS02592,3,EMP0069,Vodafone Cash,Completed,270,170
ORD0004797,03/01/2024,20240103,CUS01716,14,EMP0198,Debit Card,Completed,1056,660
ORD0007556,03/01/2024,20240103,CUS02521,5,EMP0105,Cash,Cancelled,1894,1110
ORD0006034,03/01/2024,20240103,CUS02094,11,EMP0171,Cash,Completed,1340,650
ORD0008310,03/01/2024,20240103,CUS02713,1,EMP0009,Cash,Completed,982,490
ORD0005784,03/01/2024,20240103,CUS02758,7,EMP0130,Credit Card,Completed,2203.5,1200
ORD0002825,04/01/2024,20240104,CUS00564,2,EMP0047,Vodafone Cash,Completed,16266,15080
ORD0007388,04/01/2024,20240104,CUS01530,15,EMP0216,Fawry,Completed,17170,13610
ORD0009398,04/01/2024,20240104,CUS01777,2,EMP0032,Credit Card,Completed,683.5,360
ORD0008993,04/01/2024,20240104,CUS02012,14,EMP0202,Fawry,Returned,9938,8780
ORD0001497,04/01/2024,20240104,CUS01082,5,EMP0106,Vodafone Cash,Completed,893,570
ORD0002519,04/01/2024,20240104,CUS00367,1,EMP0013,Debit Card,Completed,357,210
ORD0010249,04/01/2024,20240104,CUS02121,6,EMP0126,Vodafone Cash,Completed,1220,590
ORD0010714,04/01/2024,20240104,CUS01735,1,EMP0003,Credit Card,Completed,960,440
ORD0005909,04/01/2024,20240104,CUS00754,5,EMP0098,InstaPay,Completed,432,210
ORD0006608,04/01/2024,20240104,CUS00079,5,EMP0111,Fawry,Completed,27030,25400
ORD0006901,04/01/2024,20240104,CUS01962,1,EMP0013,InstaPay,Completed,1261.5,670
ORD0003720,04/01/2024,20240104,CUS02981,3,EMP0063,Cash,Completed,90,40
ORD0001797,04/01/2024,20240104,CUS00831,2,EMP0052,  InstaPay  ,Completed,756,400
ORD0005244,04/01/2024,20240104,CUS00807,4,EMP0090,Vodafone Cash,Completed,434.5,250
ORD0008171,05/01/2024,20240105,CUS02684,12,EMP0174,InstaPay,Completed,13784.5,10800
ORD0001219,05/01/2024,20240105,CUS01689,8,EMP0143,Cash,Returned,627,320
ORD0006433,05/01/2024,20240105,CUS02972,8,EMP0138,Fawry,Returned,306,160
ORD0008401,05/01/2024,20240105,CUS01426,2,EMP0037,Cash,Completed,160,80
ORD0010559,05/01/2024,20240105,CUS00992,1,EMP0021,Cash,Completed,664.5,340
ORD0007955,05/01/2024,20240105,CUS02570,12,EMP0184,Vodafone Cash,Completed,127.5,70
ORD0003169,05/01/2024,20240105,CUS02904,1,EMP0011,Vodafone Cash,Completed,209,100
ORD0008847,05/01/2024,20240105,CUS02664,13,EMP0185,Vodafone Cash,Completed,730,360
ORD0010373,06/01/2024,20240106,CUS02885,1,EMP0024,  Fawry  ,Completed,3320,1640
ORD0010586,06/01/2024,20240106,CUS01200,1,EMP0017,InstaPay,Completed,1231,620
ORD0008394,06/01/2024,20240106,CUS00843,6,EMP0126,  Debit Card  ,Returned,2281,1140
ORD0008844,06/01/2024,20240106,CUS02725,7,EMP0132,Vodafone Cash,Completed,72,40
ORD0010980,06/01/2024,20240106,CUS00835,2,EMP0047,Vodafone Cash,Completed,2090,1020
ORD0010684,06/01/2024,20240106,CUS00052,5,EMP0099,Credit Card,Returned,669,330
ORD0006508,06/01/2024,20240106,CUS01037,6,EMP0113,Credit Card,Completed,1928,1370
ORD0003517,06/01/2024,20240106,CUS00415,12,EMP0178,Fawry,Completed,5363,5050
ORD0010303,06/01/2024,20240106,CUS00163,5,EMP0103,Debit Card,Completed,1320,810
ORD0008132,06/01/2024,20240106,CUS00324,3,EMP0060,Fawry,Completed,852.5,480
ORD0008750,06/01/2024,20240106,CUS02035,1,EMP0001,Vodafone Cash,Completed,666,330
