return_id,order_id,return_date,return_reason,return_amount,refund_method,return_status
RET00001,ORD0000010,23/05/2022,Defective Product,85,Fawry,Refunded
RET00002,ORD0000017,20/03/2024,Duplicate Order,8285,InstaPay,Refunded
RET00003,ORD0000029,08/07/2023,Wrong Item Delivered,180,Vodafone Cash,Refunded
RET00004,ORD0000039,28/08/2022,Changed Mind,1705,Cash,Pending
RET00005,ORD0000052,04/06/2023,Changed Mind,2000,Cash,Refunded
RET00006,ORD0000053,22/05/2023,Defective Product,5767.5,Credit Card,Refunded
RET00007,ORD0000066,18/12/2022,Quality Issue,12330,Debit Card,Refunded
RET00008,ORD0000095,07/06/2024,Quality Issue,657.5,Vodafone Cash,Refunded
RET00009,ORD0000096,10/10/2024,Duplicate Order,200,InstaPay,Refunded
RET00010,ORD0000100,08/07/2022,Quality Issue,999,Vodafone Cash,Pending
RET00011,ORD0000116,09/04/2023,Quality Issue,10152,Debit Card,Pending
RET00012,ORD0000139,08/04/2024,Wrong Item Delivered,2880,Vodafone Cash,Refunded
RET00013,ORD0000140,23/11/2022,Wrong Item Delivered,212.5,Cash,Refunded
RET00014,ORD0000154,16/12/2022,Duplicate Order,1155.5,Cash,Pending
RET00015,ORD0000162,25/02/2024,Size Issue,629,Fawry,Refunded
RET00016,ORD0000163,20/07/2024,Defective Product,1366,Vodafone Cash,Refunded
RET00017,ORD0000164,26/03/2023,Wrong Item Delivered,304,Vodafone Cash,Refunded
RET00018,ORD0000170,03/01/2023,Changed Mind,994,Cash,Refunded
RET00019,ORD0000174,01/05/2022,Changed Mind,540,Fawry,Refunded
RET00020,ORD0000183,31/03/2022,Changed Mind,275,Debit Card,Refunded
RET00021,ORD0000186,06/06/2024,Wrong Item Delivered,217.5,InstaPay,Refunded
RET00022,ORD0000189,14/11/2022,Changed Mind,2305.5,Credit Card,Refunded
RET00023,ORD0000197,15/05/2023,Wrong Item Delivered,504,Vodafone Cash,Refunded
RET00024,ORD0000200,06/04/2024,Wrong Item Delivered,1470,InstaPay,Pending
RET00025,ORD0000201,23/02/2023,Changed Mind,1323,Fawry,Refunded
RET00026,ORD0000207,12/08/2023,Duplicate Order,31326.5,Fawry,Refunded
RET00027,ORD0000215,18/07/2022,Duplicate Order,290,Fawry,Refunded
RET00028,ORD0000224,03/12/2022,Wrong Item Delivered,1306.5,Vodafone Cash,Refunded
RET00029,ORD0000231,14/08/2024,Defective Product,720,InstaPay,Refunded
RET00030,ORD0000233,27/01/2024,Size Issue,616,Fawry,Refunded
RET00031,ORD0000241,17/02/2022,Wrong Item Delivered,410,Cash,Refunded
RET00032,ORD0000251,11/11/2022,Size Issue,5357.5,Credit Card,Pending
RET00033,ORD0000263,17/10/2023,Size Issue,981,Fawry,Refunded
RET00034,ORD0000278,09/06/2024,Size Issue,500,Fawry,Pending
RET00035,ORD0000299,07/07/2024,Duplicate Order,865,Debit Card,Rejected
RET00036,ORD0000310,27/05/2022,Size Issue,37840,Vodafone Cash,Refunded
RET00037,ORD0000317,22/08/2023,Changed Mind,5310,Vodafone Cash,Rejected
RET00038,ORD0000329,31/10/2024,Size Issue,784,Vodafone Cash,Refunded
RET00039,ORD0000335,22/03/2024,Quality Issue,447,Vodafone Cash,Refunded
RET00040,ORD0000336,22/07/2022,Wrong Item Delivered,2135,Debit Card,Pending
RET00041,ORD0000344,21/05/2024,Quality Issue,6000,InstaPay,Refunded
RET00042,ORD0000349,19/11/2022,Quality Issue,1095,Fawry,Pending
RET00043,ORD0000361,07/12/2022,Duplicate Order,2326.5,Credit Card,Refunded
RET00044,ORD0000367,22/08/2023,Defective Product,1065,Vodafone Cash,Refunded
RET00045,ORD0000378,29/11/2023,Defective Product,972,Cash,Refunded
RET00046,ORD0000382,27/08/2023,Size Issue,750,Vodafone Cash,Refunded
RET00047,ORD0000394,05/07/2023,Quality Issue,1458,InstaPay,Refunded
RET00048,ORD0000405,26/11/2024,Changed Mind,742.5,Vodafone Cash,Refunded
RET00049,ORD0000410,03/03/2022,Wrong Item Delivered,33952.5,Fawry,Refunded
